Tracker Experiment Results 31-Oct-2014
LEFT_FOOT
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
1.62	218.4432	148.7453	91.8424	0.7114 	 -0.3632 	 0.5395 	 0.2665 	1.9146 	 0.6114 	 1.3814 	 
1.65	218.4388	148.732	91.8344	0.7112 	 -0.3633 	 0.5396 	 0.2665 	1.9141 	 0.6113 	 1.3820 	 
1.66	218.4211	148.7199	91.8319	0.7112 	 -0.3631 	 0.5397 	 0.2666 	1.9137 	 0.6113 	 1.3819 	 
1.68	218.4255	148.7366	91.8534	0.7114 	 -0.3632 	 0.5395 	 0.2663 	1.9147 	 0.6117 	 1.3815 	 
1.69	218.4294	148.7281	91.8383	0.7113 	 -0.3632 	 0.5395 	 0.2664 	1.9144 	 0.6114 	 1.3816 	 
1.7	218.4334	148.7324	91.8356	0.7113 	 -0.3631 	 0.5396 	 0.2666 	1.9140 	 0.6113 	 1.3816 	 
1.73	218.4324	148.7367	91.8466	0.7114 	 -0.3632 	 0.5395 	 0.2663 	1.9146 	 0.6116 	 1.3817 	 
1.77	218.408	148.7334	91.8486	0.7114 	 -0.3631 	 0.5396 	 0.2664 	1.9144 	 0.6117 	 1.3814 	 
1.78	218.4323	148.738	91.8463	0.7112 	 -0.3632 	 0.5397 	 0.2665 	1.9138 	 0.6114 	 1.3821 	 
1.8	218.4117	148.7189	91.8269	0.7112 	 -0.3631 	 0.5397 	 0.2666 	1.9137 	 0.6114 	 1.3819 	 
1.82	218.4179	148.732	91.8366	0.7113 	 -0.3632 	 0.5396 	 0.2664 	1.9141 	 0.6116 	 1.3818 	 
1.85	218.4278	148.7354	91.8396	0.7112 	 -0.3631 	 0.5397 	 0.2666 	1.9136 	 0.6114 	 1.3820 	 
1.87	218.4164	148.7455	91.8299	0.7112 	 -0.3633 	 0.5397 	 0.2665 	1.9139 	 0.6114 	 1.3822 	 
1.88	218.4032	148.7382	91.8087	0.7109 	 -0.3631 	 0.5399 	 0.2668 	1.9127 	 0.6113 	 1.3826 	 
1.9	218.3729	148.7828	91.834	0.7114 	 -0.3632 	 0.5395 	 0.2663 	1.9146 	 0.6117 	 1.3815 	 
1.91	218.4242	148.702	91.8127	0.7106 	 -0.3633 	 0.5400 	 0.2672 	1.9117 	 0.6106 	 1.3832 	 
1.96	218.3743	148.7621	91.8065	0.7109 	 -0.3632 	 0.5401 	 0.2666 	1.9128 	 0.6117 	 1.3830 	 
1.98	218.3588	148.7531	91.8168	0.7111 	 -0.3631 	 0.5398 	 0.2665 	1.9135 	 0.6117 	 1.3823 	 
1.99	218.3652	148.7834	91.8011	0.7111 	 -0.3631 	 0.5399 	 0.2665 	1.9134 	 0.6118 	 1.3823 	 
2.02	218.3551	148.7828	91.8104	0.7110 	 -0.3630 	 0.5400 	 0.2664 	1.9131 	 0.6121 	 1.3826 	 
2.04	218.3542	148.7744	91.8042	0.7107 	 -0.3630 	 0.5403 	 0.2668 	1.9119 	 0.6117 	 1.3832 	 
2.05	218.3598	148.76	91.8012	0.7109 	 -0.3631 	 0.5401 	 0.2667 	1.9125 	 0.6117 	 1.3830 	 
2.07	218.3453	148.7839	91.809	0.7109 	 -0.3630 	 0.5402 	 0.2666 	1.9124 	 0.6120 	 1.3830 	 
2.08	218.3605	148.7933	91.8002	0.7106 	 -0.3630 	 0.5404 	 0.2668 	1.9115 	 0.6118 	 1.3835 	 
2.11	218.3436	148.808	91.8087	0.7110 	 -0.3631 	 0.5402 	 0.2662 	1.9131 	 0.6123 	 1.3831 	 
2.14	218.346	148.8173	91.7903	0.7108 	 -0.3630 	 0.5403 	 0.2665 	1.9123 	 0.6121 	 1.3833 	 
2.15	218.3172	148.7978	91.7911	0.7109 	 -0.3630 	 0.5402 	 0.2665 	1.9125 	 0.6121 	 1.3831 	 
2.17	218.3315	148.7535	91.8031	0.7107 	 -0.3631 	 0.5403 	 0.2669 	1.9117 	 0.6115 	 1.3835 	 
2.19	218.3349	148.7828	91.8136	0.7109 	 -0.3631 	 0.5402 	 0.2665 	1.9127 	 0.6119 	 1.3832 	 
2.2	218.3552	148.7879	91.7967	0.7106 	 -0.3631 	 0.5404 	 0.2668 	1.9116 	 0.6117 	 1.3836 	 
2.22	218.3513	148.8045	91.8178	0.7107 	 -0.3630 	 0.5404 	 0.2666 	1.9118 	 0.6121 	 1.3835 	 
2.25	218.3503	148.7782	91.8169	0.7105 	 -0.3631 	 0.5405 	 0.2668 	1.9112 	 0.6118 	 1.3840 	 
2.26	218.378	148.8018	91.8109	0.7109 	 -0.3632 	 0.5401 	 0.2665 	1.9128 	 0.6116 	 1.3831 	 
2.27	218.3586	148.7888	91.8244	0.7108 	 -0.3631 	 0.5402 	 0.2666 	1.9124 	 0.6117 	 1.3832 	 
2.29	218.372	148.7984	91.8118	0.7106 	 -0.3631 	 0.5404 	 0.2668 	1.9116 	 0.6118 	 1.3836 	 
