Tracker Experiment Results 03-Nov-2014
BACK
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
3.93	257.8623	-203.3509	1245.9168	0.7243 	 0.1179 	 0.6555 	 -0.1782 	-1.7552 	 1.1375 	 -1.2990 	 
3.94	259.5967	-206.0923	1246.3614	0.7187 	 0.1220 	 0.6578 	 -0.1894 	-1.7151 	 1.1183 	 -1.3287 	 
3.95	262.2085	-207.7657	1246.6563	0.7186 	 0.1219 	 0.6573 	 -0.1914 	-1.7137 	 1.1153 	 -1.3270 	 
3.96	265.3214	-208.8513	1246.4978	0.7226 	 0.1207 	 0.6547 	 -0.1861 	-1.7411 	 1.1227 	 -1.3055 	 
3.97	268.0022	-210.7279	1246.6861	0.7211 	 0.1213 	 0.6556 	 -0.1885 	-1.7303 	 1.1191 	 -1.3137 	 
3.98	270.2662	-212.9779	1247.3077	0.7202 	 0.1212 	 0.6550 	 -0.1940 	-1.7219 	 1.1117 	 -1.3140 	 
3.99	273.0101	-214.3916	1247.1922	0.7209 	 0.1225 	 0.6543 	 -0.1928 	-1.7279 	 1.1110 	 -1.3115 	 
4	275.8374	-216.5282	1247.8811	0.7206 	 0.1208 	 0.6536 	 -0.1974 	-1.7227 	 1.1068 	 -1.3077 	 
4.01	278.0447	-218.1874	1247.7218	0.7206 	 0.1242 	 0.6528 	 -0.1980 	-1.7245 	 1.1008 	 -1.3098 	 
4.02	281.1048	-219.8289	1248.498	0.7219 	 0.1217 	 0.6512 	 -0.2000 	-1.7300 	 1.1008 	 -1.2976 	 
4.03	283.6882	-221.7108	1248.822	0.7227 	 0.1216 	 0.6498 	 -0.2017 	-1.7343 	 1.0977 	 -1.2906 	 
4.04	286.4749	-223.2468	1249.2476	0.7227 	 0.1210 	 0.6494 	 -0.2031 	-1.7335 	 1.0965 	 -1.2886 	 
4.05	288.263	-225.5	1249.7342	0.7276 	 0.1234 	 0.6436 	 -0.2030 	-1.7646 	 1.0895 	 -1.2610 	 
4.06	291.4328	-226.5965	1249.9706	0.7232 	 0.1220 	 0.6475 	 -0.2071 	-1.7350 	 1.0886 	 -1.2826 	 
4.07	293.1825	-228.7895	1250.4417	0.7284 	 0.1237 	 0.6413 	 -0.2068 	-1.7679 	 1.0826 	 -1.2524 	 
4.08	296.0628	-230.2441	1250.8662	0.7267 	 0.1232 	 0.6425 	 -0.2098 	-1.7553 	 1.0802 	 -1.2600 	 
4.09	298.2491	-231.8214	1251.152	0.7265 	 0.1237 	 0.6419 	 -0.2118 	-1.7536 	 1.0764 	 -1.2595 	 
4.1	300.5726	-233.5493	1251.511	0.7273 	 0.1249 	 0.6401 	 -0.2138 	-1.7578 	 1.0711 	 -1.2540 	 
4.11	302.8767	-234.8457	1251.8904	0.7273 	 0.1236 	 0.6399 	 -0.2152 	-1.7564 	 1.0707 	 -1.2514 	 
4.12	305.1461	-236.381	1252.2069	0.7270 	 0.1250 	 0.6391 	 -0.2176 	-1.7543 	 1.0652 	 -1.2518 	 
4.13	307.3738	-237.7131	1252.5082	0.7263 	 0.1244 	 0.6392 	 -0.2201 	-1.7482 	 1.0628 	 -1.2535 	 
4.14	309.5721	-239.1064	1252.8464	0.7268 	 0.1250 	 0.6379 	 -0.2216 	-1.7512 	 1.0592 	 -1.2490 	 
4.16	313.611	-241.8733	1253.4145	0.7273 	 0.1250 	 0.6361 	 -0.2253 	-1.7520 	 1.0532 	 -1.2427 	 
4.17	315.7818	-242.7961	1253.7045	0.7275 	 0.1252 	 0.6353 	 -0.2269 	-1.7522 	 1.0503 	 -1.2404 	 
4.18	317.8571	-244.1855	1253.9702	0.7273 	 0.1242 	 0.6353 	 -0.2282 	-1.7500 	 1.0498 	 -1.2393 	 
4.19	319.8315	-245.1747	1254.3453	0.7266 	 0.1257 	 0.6352 	 -0.2297 	-1.7464 	 1.0458 	 -1.2428 	 
4.2	321.7528	-246.4084	1254.5375	0.7278 	 0.1241 	 0.6341 	 -0.2298 	-1.7521 	 1.0471 	 -1.2345 	 
4.21	323.509	-247.4369	1254.813	0.7287 	 0.1249 	 0.6327 	 -0.2302 	-1.7576 	 1.0445 	 -1.2295 	 
4.22	325.7809	-248.2816	1254.9716	0.7258 	 0.1243 	 0.6356 	 -0.2320 	-1.7397 	 1.0450 	 -1.2440 	 
4.23	327.3868	-249.1881	1255.1576	0.7268 	 0.1233 	 0.6350 	 -0.2309 	-1.7456 	 1.0473 	 -1.2383 	 
4.24	329.1793	-250.0574	1255.1673	0.7269 	 0.1237 	 0.6348 	 -0.2309 	-1.7462 	 1.0466 	 -1.2383 	 
4.25	330.7996	-250.7538	1255.1531	0.7263 	 0.1233 	 0.6354 	 -0.2316 	-1.7421 	 1.0467 	 -1.2408 	 
4.26	332.4572	-251.2636	1255.058	0.7260 	 0.1214 	 0.6365 	 -0.2304 	-1.7400 	 1.0515 	 -1.2419 	 
4.27	334.0321	-251.8374	1254.971	0.7267 	 0.1205 	 0.6362 	 -0.2295 	-1.7441 	 1.0538 	 -1.2379 	 
4.28	335.5493	-252.2247	1254.8832	0.7255 	 0.1205 	 0.6375 	 -0.2297 	-1.7372 	 1.0545 	 -1.2446 	 
4.29	336.8449	-252.6941	1254.6673	0.7256 	 0.1201 	 0.6376 	 -0.2291 	-1.7380 	 1.0559 	 -1.2440 	 
4.3	338.1696	-252.9293	1254.4951	0.7259 	 0.1188 	 0.6383 	 -0.2272 	-1.7394 	 1.0606 	 -1.2436 	 
4.31	339.6688	-253.2345	1254.2426	0.7252 	 0.1178 	 0.6397 	 -0.2261 	-1.7353 	 1.0643 	 -1.2479 	 
4.32	341.0044	-253.5275	1253.9412	0.7241 	 0.1181 	 0.6410 	 -0.2258 	-1.7292 	 1.0652 	 -1.2549 	 
4.33	342.4098	-253.6385	1253.6594	0.7230 	 0.1174 	 0.6424 	 -0.2254 	-1.7227 	 1.0676 	 -1.2611 	 
4.34	343.6452	-253.8925	1253.3137	0.7238 	 0.1159 	 0.6424 	 -0.2237 	-1.7272 	 1.0718 	 -1.2570 	 
4.35	344.8763	-254.1411	1252.9606	0.7234 	 0.1149 	 0.6434 	 -0.2226 	-1.7247 	 1.0752 	 -1.2596 	 
4.36	346.1542	-254.3109	1252.5832	0.7222 	 0.1143 	 0.6449 	 -0.2226 	-1.7172 	 1.0771 	 -1.2663 	 
4.37	347.653	-254.5672	1252.1559	0.7209 	 0.1141 	 0.6466 	 -0.2220 	-1.7095 	 1.0791 	 -1.2745 	 
4.38	348.9687	-254.6534	1251.7932	0.7212 	 0.1130 	 0.6469 	 -0.2207 	-1.7113 	 1.0825 	 -1.2732 	 
4.39	350.1454	-254.8484	1251.3332	0.7207 	 0.1120 	 0.6477 	 -0.2200 	-1.7085 	 1.0853 	 -1.2756 	 
4.4	351.3053	-255.113	1250.9216	0.7197 	 0.1114 	 0.6491 	 -0.2196 	-1.7019 	 1.0874 	 -1.2819 	 
4.41	352.7104	-255.1957	1250.4265	0.7184 	 0.1106 	 0.6510 	 -0.2190 	-1.6935 	 1.0905 	 -1.2901 	 
4.42	354.0444	-255.4319	1249.8973	0.7184 	 0.1101 	 0.6513 	 -0.2181 	-1.6937 	 1.0926 	 -1.2904 	 
4.43	355.3469	-255.5841	1249.4095	0.7181 	 0.1095 	 0.6520 	 -0.2175 	-1.6915 	 1.0945 	 -1.2926 	 
4.44	356.5761	-255.6552	1248.8376	0.7162 	 0.1088 	 0.6542 	 -0.2173 	-1.6795 	 1.0970 	 -1.3040 	 
4.45	357.6412	-255.7317	1248.3029	0.7164 	 0.1075 	 0.6545 	 -0.2163 	-1.6805 	 1.1002 	 -1.3028 	 
4.46	358.9743	-255.6419	1247.616	0.7159 	 0.1066 	 0.6557 	 -0.2152 	-1.6767 	 1.1036 	 -1.3068 	 
4.47	360.398	-255.6241	1246.8903	0.7143 	 0.1062 	 0.6575 	 -0.2147 	-1.6670 	 1.1058 	 -1.3167 	 
4.48	361.626	-255.5878	1246.1283	0.7131 	 0.1060 	 0.6588 	 -0.2149 	-1.6591 	 1.1064 	 -1.3240 	 
4.49	362.9129	-255.6817	1245.3906	0.7129 	 0.1053 	 0.6592 	 -0.2146 	-1.6576 	 1.1079 	 -1.3250 	 
4.5	364.35	-255.4328	1244.6949	0.7116 	 0.1038 	 0.6615 	 -0.2130 	-1.6483 	 1.1133 	 -1.3345 	 
4.51	365.5858	-255.2936	1244.0111	0.7112 	 0.1028 	 0.6623 	 -0.2121 	-1.6452 	 1.1163 	 -1.3375 	 
4.52	366.9015	-254.9628	1243.3378	0.7092 	 0.1028 	 0.6644 	 -0.2121 	-1.6325 	 1.1171 	 -1.3501 	 
4.54	369.502	-254.36	1241.9983	0.7087 	 0.1006 	 0.6663 	 -0.2088 	-1.6286 	 1.1254 	 -1.3559 	 
4.55	370.8564	-253.9392	1241.2888	0.7072 	 0.0998 	 0.6684 	 -0.2078 	-1.6176 	 1.1288 	 -1.3672 	 
