Tracker Experiment Results 03-Nov-2014
LEFT_FOOT
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
1.94	33.2046	211.9854	130.8032	0.6624 	 -0.4779 	 0.4772 	 0.3243 	1.9317 	 0.3280 	 1.4779 	 
1.95	37.322	211.9966	130.801	0.6634 	 -0.4779 	 0.4774 	 0.3220 	1.9350 	 0.3317 	 1.4782 	 
1.96	41.4427	211.9863	130.8163	0.6633 	 -0.4772 	 0.4794 	 0.3202 	1.9340 	 0.3367 	 1.4808 	 
1.97	45.3179	212.0349	130.7728	0.6616 	 -0.4748 	 0.4839 	 0.3203 	1.9248 	 0.3430 	 1.4850 	 
1.98	49.3594	211.5744	130.5608	0.6622 	 -0.4767 	 0.4827 	 0.3184 	1.9302 	 0.3423 	 1.4862 	 
1.99	53.2438	211.1308	130.4248	0.6614 	 -0.4741 	 0.4869 	 0.3171 	1.9238 	 0.3506 	 1.4896 	 
2	57.1347	210.8137	130.2107	0.6621 	 -0.4740 	 0.4876 	 0.3149 	1.9261 	 0.3546 	 1.4906 	 
2.01	60.2349	208.5625	129.4953	0.6596 	 -0.4743 	 0.4874 	 0.3200 	1.9180 	 0.3464 	 1.4911 	 
2.02	64.9061	209.44	129.4364	0.6602 	 -0.4721 	 0.4933 	 0.3128 	1.9175 	 0.3640 	 1.4985 	 
2.03	68.5712	208.653	128.9334	0.6623 	 -0.4734 	 0.4915 	 0.3095 	1.9268 	 0.3661 	 1.4971 	 
2.04	72.4067	207.6063	128.4863	0.6602 	 -0.4724 	 0.4948 	 0.3102 	1.9185 	 0.3685 	 1.5020 	 
2.05	75.997	206.7513	127.9021	0.6593 	 -0.4700 	 0.4989 	 0.3089 	1.9121 	 0.3763 	 1.5059 	 
2.06	79.5885	205.6263	127.1757	0.6597 	 -0.4705 	 0.4994 	 0.3065 	1.9148 	 0.3796 	 1.5080 	 
2.07	83.239	204.0568	126.4015	0.6582 	 -0.4685 	 0.5033 	 0.3064 	1.9067 	 0.3849 	 1.5121 	 
2.08	86.4751	202.8535	125.649	0.6576 	 -0.4678 	 0.5058 	 0.3048 	1.9039 	 0.3898 	 1.5161 	 
2.09	89.8324	201.4214	124.7064	0.6570 	 -0.4657 	 0.5096 	 0.3030 	1.8989 	 0.3978 	 1.5199 	 
2.12	98.6116	195.7196	121.3675	0.6539 	 -0.4591 	 0.5210 	 0.3005 	1.8782 	 0.4174 	 1.5318 	 
2.15	105.1346	189.2383	117.2305	0.6558 	 -0.4488 	 0.5315 	 0.2932 	1.8672 	 0.4488 	 1.5351 	 
2.16	106.9465	188.69	116.9866	0.6456 	 -0.4322 	 0.5542 	 0.2989 	1.8059 	 0.4747 	 1.5572 	 
2.17	108.2447	186.1331	115.5033	0.6453 	 -0.4291 	 0.5582 	 0.2964 	1.8000 	 0.4848 	 1.5611 	 
2.19	108.9438	180.4418	112.4525	0.6425 	 -0.4170 	 0.5696 	 0.2979 	1.7704 	 0.5047 	 1.5672 	 
2.2	108.0513	177.415	111.3039	0.6486 	 -0.4132 	 0.5694 	 0.2906 	1.7832 	 0.5217 	 1.5591 	 
