Tracker Experiment Results 03-Nov-2014
LEFT_SHANK
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
0.86	-204.4376	113.8658	269.0006	0.5931 	 -0.3196 	 0.6442 	 0.3620 	1.4617 	 0.5619 	 1.6113 	 
0.87	-204.1785	113.7936	269.0055	0.5936 	 -0.3195 	 0.6437 	 0.3622 	1.4630 	 0.5619 	 1.6097 	 
0.88	-203.9234	113.7141	269.0117	0.5944 	 -0.3192 	 0.6432 	 0.3621 	1.4646 	 0.5627 	 1.6077 	 
0.89	-203.6013	113.6342	269.0126	0.5946 	 -0.3192 	 0.6427 	 0.3626 	1.4653 	 0.5621 	 1.6062 	 
0.9	-203.3043	113.544	269.013	0.5947 	 -0.3195 	 0.6422 	 0.3632 	1.4661 	 0.5606 	 1.6050 	 
0.91	-202.9818	113.5229	268.9926	0.5946 	 -0.3197 	 0.6418 	 0.3637 	1.4664 	 0.5595 	 1.6041 	 
0.92	-202.6628	113.504	269.0157	0.5947 	 -0.3200 	 0.6416 	 0.3637 	1.4668 	 0.5590 	 1.6041 	 
0.93	-202.3815	113.5261	269.0532	0.5941 	 -0.3203 	 0.6416 	 0.3644 	1.4660 	 0.5573 	 1.6043 	 
0.94	-202.1344	113.5072	269.0843	0.5939 	 -0.3204 	 0.6416 	 0.3647 	1.4655 	 0.5566 	 1.6044 	 
0.95	-200.9717	114.7196	268.9887	0.5956 	 -0.3199 	 0.6429 	 0.3601 	1.4690 	 0.5650 	 1.6077 	 
0.96	-200.7359	114.7091	269.0131	0.5954 	 -0.3201 	 0.6428 	 0.3604 	1.4688 	 0.5642 	 1.6077 	 
0.97	-201.4214	113.3776	269.1521	0.5931 	 -0.3216 	 0.6408 	 0.3664 	1.4653 	 0.5520 	 1.6038 	 
0.98	-201.2098	113.2485	269.186	0.5929 	 -0.3218 	 0.6403 	 0.3674 	1.4651 	 0.5502 	 1.6026 	 
0.99	-200.9935	113.1748	269.2255	0.5927 	 -0.3222 	 0.6399 	 0.3680 	1.4655 	 0.5485 	 1.6018 	 
1	-200.8289	113.0355	269.2638	0.5928 	 -0.3223 	 0.6393 	 0.3689 	1.4658 	 0.5469 	 1.6001 	 
1.01	-200.6689	112.8962	269.3013	0.5925 	 -0.3228 	 0.6387 	 0.3698 	1.4660 	 0.5447 	 1.5993 	 
1.02	-200.5483	112.6987	269.3665	0.5924 	 -0.3233 	 0.6381 	 0.3705 	1.4666 	 0.5427 	 1.5982 	 
1.03	-200.4557	112.4903	269.4218	0.5925 	 -0.3236 	 0.6377 	 0.3709 	1.4673 	 0.5418 	 1.5973 	 
1.04	-200.3619	112.256	269.5126	0.5929 	 -0.3239 	 0.6371 	 0.3711 	1.4689 	 0.5410 	 1.5960 	 
1.05	-200.267	112.0552	269.5996	0.5934 	 -0.3239 	 0.6368 	 0.3709 	1.4702 	 0.5415 	 1.5950 	 
1.06	-200.1914	111.8973	269.6789	0.5939 	 -0.3237 	 0.6366 	 0.3705 	1.4713 	 0.5426 	 1.5943 	 
1.07	-200.1371	111.704	269.7529	0.5942 	 -0.3237 	 0.6365 	 0.3703 	1.4721 	 0.5430 	 1.5938 	 
1.08	-200.0545	111.5226	269.8569	0.5946 	 -0.3236 	 0.6362 	 0.3700 	1.4731 	 0.5435 	 1.5930 	 
1.09	-199.9943	111.3097	269.9666	0.5953 	 -0.3232 	 0.6360 	 0.3695 	1.4746 	 0.5450 	 1.5919 	 
1.1	-199.9087	111.0878	270.098	0.5960 	 -0.3230 	 0.6358 	 0.3692 	1.4759 	 0.5461 	 1.5907 	 
1.11	-199.8385	110.7962	270.3081	0.5969 	 -0.3224 	 0.6357 	 0.3684 	1.4773 	 0.5483 	 1.5896 	 
1.12	-199.6586	110.4438	270.5689	0.5975 	 -0.3221 	 0.6356 	 0.3677 	1.4787 	 0.5500 	 1.5890 	 
1.13	-199.4651	110.0935	270.9066	0.5979 	 -0.3220 	 0.6357 	 0.3670 	1.4795 	 0.5514 	 1.5892 	 
1.14	-198.4499	110.7053	271.1929	0.5996 	 -0.3205 	 0.6373 	 0.3628 	1.4816 	 0.5606 	 1.5917 	 
1.15	-198.224	110.1118	271.4979	0.6003 	 -0.3209 	 0.6372 	 0.3615 	1.4840 	 0.5620 	 1.5921 	 
1.17	-197.6312	108.8671	272.129	0.6027 	 -0.3170 	 0.6392 	 0.3574 	1.4841 	 0.5750 	 1.5924 	 
1.18	-197.2798	108.2335	272.6421	0.6038 	 -0.3129 	 0.6412 	 0.3556 	1.4806 	 0.5844 	 1.5924 	 
1.19	-197.1268	106.7523	272.8739	0.6018 	 -0.3099 	 0.6425 	 0.3591 	1.4705 	 0.5833 	 1.5920 	 
1.2	-196.6854	105.9697	273.2943	0.6024 	 -0.3072 	 0.6436 	 0.3584 	1.4679 	 0.5887 	 1.5915 	 
1.21	-195.9731	105.5045	273.6808	0.6034 	 -0.3069 	 0.6444 	 0.3556 	1.4701 	 0.5937 	 1.5935 	 
1.22	-195.4569	104.2858	274.1092	0.6035 	 -0.3046 	 0.6450 	 0.3564 	1.4665 	 0.5960 	 1.5921 	 
1.23	-194.9579	103.4531	274.6949	0.6031 	 -0.3063 	 0.6438 	 0.3577 	1.4683 	 0.5913 	 1.5909 	 
1.24	-194.323	102.837	275.291	0.6064 	 -0.3060 	 0.6429 	 0.3540 	1.4771 	 0.5980 	 1.5876 	 
1.25	-193.8581	101.3839	275.8276	0.6099 	 -0.3019 	 0.6443 	 0.3490 	1.4805 	 0.6128 	 1.5861 	 
1.26	-193.3913	100.3402	276.3992	0.6119 	 -0.2972 	 0.6462 	 0.3458 	1.4790 	 0.6253 	 1.5854 	 
1.27	-192.9084	99.2254	276.8676	0.6126 	 -0.2925 	 0.6488 	 0.3438 	1.4734 	 0.6359 	 1.5870 	 
1.28	-192.1574	98.3743	277.5133	0.6140 	 -0.2882 	 0.6507 	 0.3414 	1.4706 	 0.6463 	 1.5869 	 
1.29	-191.2728	97.675	278.1733	0.6141 	 -0.2848 	 0.6524 	 0.3409 	1.4654 	 0.6524 	 1.5877 	 
1.3	-190.4301	97.0848	278.767	0.6158 	 -0.2849 	 0.6511 	 0.3400 	1.4709 	 0.6539 	 1.5837 	 
1.31	-189.6647	96.1972	279.7375	0.6176 	 -0.2846 	 0.6496 	 0.3400 	1.4760 	 0.6545 	 1.5783 	 
1.32	-188.6848	95.781	280.6582	0.6185 	 -0.2835 	 0.6488 	 0.3409 	1.4770 	 0.6551 	 1.5740 	 
1.33	-187.7285	95.6222	281.4962	0.6182 	 -0.2829 	 0.6481 	 0.3431 	1.4756 	 0.6526 	 1.5709 	 
1.34	-186.7047	96.943	282.7628	0.6150 	 -0.2835 	 0.6472 	 0.3501 	1.4673 	 0.6405 	 1.5688 	 
1.35	-185.5001	97.3394	283.7422	0.6162 	 -0.2829 	 0.6457 	 0.3512 	1.4703 	 0.6399 	 1.5632 	 
1.36	-184.0906	97.7334	284.6173	0.6161 	 -0.2842 	 0.6427 	 0.3557 	1.4725 	 0.6309 	 1.5555 	 
1.37	-182.6556	97.4734	285.1772	0.6168 	 -0.2863 	 0.6400 	 0.3577 	1.4780 	 0.6245 	 1.5502 	 
1.38	-181.0148	98.7092	286.3411	0.6140 	 -0.2915 	 0.6349 	 0.3674 	1.4785 	 0.6010 	 1.5417 	 
1.39	-179.0185	100.9643	287.9902	0.6087 	 -0.2980 	 0.6305 	 0.3783 	1.4738 	 0.5730 	 1.5382 	 
1.4	-177.1775	102.5457	289.0534	0.6093 	 -0.3012 	 0.6262 	 0.3821 	1.4807 	 0.5620 	 1.5301 	 
1.41	-174.9705	104.0746	290.117	0.6069 	 -0.3091 	 0.6184 	 0.3921 	1.4868 	 0.5331 	 1.5196 	 
1.42	-172.9084	105.56	291.0412	0.6022 	 -0.3171 	 0.6123 	 0.4024 	1.4866 	 0.5032 	 1.5148 	 
1.43	-170.5385	107.627	292.0199	0.5992 	 -0.3222 	 0.6083 	 0.4088 	1.4869 	 0.4842 	 1.5116 	 
1.44	-168.3338	109.0614	292.7833	0.5967 	 -0.3294 	 0.6014 	 0.4168 	1.4916 	 0.4591 	 1.5043 	 
1.45	-165.742	110.5474	293.5535	0.5907 	 -0.3382 	 0.5937 	 0.4291 	1.4903 	 0.4237 	 1.4980 	 
1.46	-163.4581	112.3864	294.3198	0.5859 	 -0.3442 	 0.5900 	 0.4360 	1.4876 	 0.4019 	 1.4982 	 
1.47	-160.934	114.1533	295.0863	0.5852 	 -0.3494 	 0.5847 	 0.4400 	1.4942 	 0.3865 	 1.4928 	 
1.48	-158.4918	115.444	295.5451	0.5801 	 -0.3560 	 0.5786 	 0.4494 	1.4923 	 0.3589 	 1.4884 	 
1.49	-155.9476	117.3022	296.1763	0.5747 	 -0.3615 	 0.5748 	 0.4567 	1.4881 	 0.3368 	 1.4883 	 
1.5	-153.6777	118.8135	296.6893	0.5742 	 -0.3651 	 0.5719 	 0.4583 	1.4925 	 0.3279 	 1.4869 	 
1.51	-151.2832	120.298	297.2076	0.5712 	 -0.3696 	 0.5675 	 0.4638 	1.4926 	 0.3104 	 1.4838 	 
1.52	-149.0603	121.5641	297.6624	0.5677 	 -0.3744 	 0.5644 	 0.4679 	1.4922 	 0.2947 	 1.4845 	 
1.53	-146.8904	122.8593	298.1546	0.5646 	 -0.3761 	 0.5629 	 0.4723 	1.4877 	 0.2841 	 1.4837 	 
1.54	-144.9572	124.325	298.8977	0.5686 	 -0.3745 	 0.5656 	 0.4654 	1.4944 	 0.2990 	 1.4872 	 
1.55	-142.8053	125.0812	299.1374	0.5673 	 -0.3769 	 0.5634 	 0.4676 	1.4954 	 0.2909 	 1.4863 	 
1.56	-140.9481	126.2592	299.787	0.5679 	 -0.3782 	 0.5644 	 0.4647 	1.4988 	 0.2937 	 1.4904 	 
1.57	-138.8794	127.2998	300.066	0.5675 	 -0.3785 	 0.5639 	 0.4655 	1.4984 	 0.2918 	 1.4899 	 
1.58	-136.9465	128.2897	300.6149	0.5685 	 -0.3782 	 0.5650 	 0.4632 	1.5001 	 0.2963 	 1.4918 	 
1.59	-134.9952	129.3941	301.1548	0.5710 	 -0.3763 	 0.5678 	 0.4582 	1.5028 	 0.3085 	 1.4952 	 
1.6	-132.8642	130.8543	301.5734	0.5738 	 -0.3760 	 0.5698 	 0.4525 	1.5087 	 0.3191 	 1.4992 	 
1.61	-130.7398	132.0374	301.9094	0.5731 	 -0.3767 	 0.5704 	 0.4520 	1.5083 	 0.3187 	 1.5017 	 
1.62	-128.4264	133.2309	302.3259	0.5743 	 -0.3780 	 0.5706 	 0.4491 	1.5133 	 0.3215 	 1.5043 	 
1.63	-125.9983	134.39	302.6638	0.5761 	 -0.3781 	 0.5717 	 0.4453 	1.5178 	 0.3278 	 1.5069 	 
1.64	-123.5384	135.9691	303.0404	0.5756 	 -0.3791 	 0.5736 	 0.4427 	1.5179 	 0.3306 	 1.5130 	 
1.65	-121.0074	137.9001	303.4708	0.5769 	 -0.3783 	 0.5756 	 0.4391 	1.5197 	 0.3384 	 1.5165 	 
1.66	-118.2366	139.3001	303.7011	0.5769 	 -0.3800 	 0.5760 	 0.4371 	1.5225 	 0.3388 	 1.5202 	 
1.67	-115.2536	140.8852	303.958	0.5779 	 -0.3818 	 0.5757 	 0.4345 	1.5278 	 0.3401 	 1.5226 	 
1.68	-112.3328	142.7182	304.3208	0.5767 	 -0.3836 	 0.5763 	 0.4338 	1.5278 	 0.3383 	 1.5267 	 
1.69	-109.3184	144.7096	304.5631	0.5765 	 -0.3851 	 0.5777 	 0.4308 	1.5297 	 0.3409 	 1.5327 	 
