Tracker Experiment Results 03-Nov-2014
RIGHT_SHANK
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
0.9	-172.41	-153.3352	266.5671	0.5522 	 0.3206 	 0.6201 	 -0.4558 	-1.3687 	 0.4034 	 -1.5431 	 
0.91	-172.3226	-153.48	266.4863	0.5522 	 0.3202 	 0.6202 	 -0.4560 	-1.3682 	 0.4038 	 -1.5428 	 
0.92	-172.2383	-153.6448	266.4086	0.5519 	 0.3201 	 0.6201 	 -0.4565 	-1.3674 	 0.4031 	 -1.5426 	 
0.93	-172.1213	-153.8007	266.3331	0.5516 	 0.3202 	 0.6199 	 -0.4571 	-1.3668 	 0.4018 	 -1.5422 	 
0.94	-172.0393	-153.9235	266.2571	0.5510 	 0.3205 	 0.6197 	 -0.4578 	-1.3660 	 0.4002 	 -1.5422 	 
0.95	-171.968	-154.054	266.1605	0.5506 	 0.3205 	 0.6198 	 -0.4582 	-1.3652 	 0.3994 	 -1.5423 	 
0.96	-171.9242	-154.2077	266.0524	0.5505 	 0.3203 	 0.6199 	 -0.4584 	-1.3644 	 0.3994 	 -1.5423 	 
0.97	-171.8838	-154.3543	265.9428	0.5504 	 0.3197 	 0.6203 	 -0.4584 	-1.3632 	 0.4003 	 -1.5424 	 
0.98	-171.8351	-154.509	265.8165	0.5503 	 0.3194 	 0.6203 	 -0.4587 	-1.3627 	 0.4004 	 -1.5421 	 
0.99	-171.7395	-154.6911	265.7111	0.5499 	 0.3194 	 0.6202 	 -0.4592 	-1.3619 	 0.3994 	 -1.5420 	 
1	-171.6144	-154.9199	265.5892	0.5497 	 0.3190 	 0.6201 	 -0.4598 	-1.3609 	 0.3989 	 -1.5411 	 
1.01	-171.5161	-155.1651	265.4875	0.5497 	 0.3184 	 0.6201 	 -0.4603 	-1.3599 	 0.3991 	 -1.5403 	 
1.02	-171.4465	-155.4152	265.3596	0.5498 	 0.3176 	 0.6204 	 -0.4603 	-1.3590 	 0.4004 	 -1.5399 	 
1.03	-171.4017	-155.6656	265.2587	0.5502 	 0.3166 	 0.6208 	 -0.4600 	-1.3583 	 0.4028 	 -1.5395 	 
1.04	-171.3527	-155.9038	265.1975	0.5508 	 0.3154 	 0.6210 	 -0.4600 	-1.3578 	 0.4048 	 -1.5383 	 
1.05	-171.2667	-156.0745	265.1467	0.5513 	 0.3146 	 0.6209 	 -0.4601 	-1.3577 	 0.4061 	 -1.5370 	 
1.06	-171.141	-156.2213	265.0828	0.5510 	 0.3146 	 0.6205 	 -0.4609 	-1.3572 	 0.4046 	 -1.5359 	 
1.07	-170.9937	-156.3338	265.0134	0.5504 	 0.3148 	 0.6201 	 -0.4619 	-1.3562 	 0.4026 	 -1.5353 	 
1.08	-170.8767	-156.4093	264.9598	0.5501 	 0.3150 	 0.6200 	 -0.4624 	-1.3557 	 0.4015 	 -1.5352 	 
1.09	-170.7916	-156.5022	264.8967	0.5499 	 0.3149 	 0.6200 	 -0.4626 	-1.3553 	 0.4012 	 -1.5351 	 
1.1	-170.7033	-156.6068	264.8271	0.5500 	 0.3144 	 0.6201 	 -0.4628 	-1.3548 	 0.4019 	 -1.5345 	 
1.11	-170.574	-156.7604	264.7807	0.5500 	 0.3141 	 0.6199 	 -0.4631 	-1.3545 	 0.4017 	 -1.5337 	 
1.12	-170.455	-156.8983	264.7254	0.5501 	 0.3141 	 0.6196 	 -0.4635 	-1.3545 	 0.4011 	 -1.5329 	 
1.13	-170.3073	-157.0553	264.6969	0.5498 	 0.3141 	 0.6194 	 -0.4641 	-1.3540 	 0.4000 	 -1.5324 	 
1.14	-170.1946	-157.2082	264.6395	0.5496 	 0.3139 	 0.6194 	 -0.4645 	-1.3533 	 0.3999 	 -1.5321 	 
1.15	-170.1072	-157.3459	264.5888	0.5499 	 0.3135 	 0.6194 	 -0.4644 	-1.3534 	 0.4006 	 -1.5316 	 
1.17	-170.013	-157.5451	264.49	0.5499 	 0.3127 	 0.6197 	 -0.4646 	-1.3520 	 0.4017 	 -1.5312 	 
1.18	-169.997	-157.6315	264.4598	0.5499 	 0.3122 	 0.6198 	 -0.4647 	-1.3515 	 0.4023 	 -1.5310 	 
1.19	-169.9848	-157.6971	264.4411	0.5499 	 0.3118 	 0.6199 	 -0.4649 	-1.3508 	 0.4027 	 -1.5305 	 
1.2	-169.9659	-157.7831	264.4141	0.5501 	 0.3110 	 0.6201 	 -0.4650 	-1.3500 	 0.4038 	 -1.5300 	 
1.21	-169.9345	-157.8692	264.39	0.5502 	 0.3105 	 0.6202 	 -0.4650 	-1.3495 	 0.4046 	 -1.5296 	 
1.22	-169.8948	-157.9717	264.3703	0.5501 	 0.3101 	 0.6204 	 -0.4652 	-1.3486 	 0.4051 	 -1.5295 	 
1.23	-169.8314	-158.0968	264.3483	0.5500 	 0.3098 	 0.6205 	 -0.4653 	-1.3480 	 0.4052 	 -1.5293 	 
1.24	-169.7948	-158.2177	264.3315	0.5501 	 0.3093 	 0.6207 	 -0.4653 	-1.3475 	 0.4061 	 -1.5292 	 
1.25	-169.7783	-158.3421	264.3341	0.5503 	 0.3086 	 0.6209 	 -0.4652 	-1.3470 	 0.4074 	 -1.5289 	 
1.26	-169.7888	-158.397	264.328	0.5508 	 0.3079 	 0.6211 	 -0.4649 	-1.3469 	 0.4092 	 -1.5283 	 
1.27	-169.8113	-158.4262	264.3692	0.5512 	 0.3071 	 0.6213 	 -0.4645 	-1.3467 	 0.4112 	 -1.5278 	 
1.28	-169.8383	-158.4421	264.3782	0.5515 	 0.3063 	 0.6215 	 -0.4645 	-1.3463 	 0.4126 	 -1.5273 	 
1.29	-169.8235	-158.4541	264.3851	0.5518 	 0.3056 	 0.6218 	 -0.4643 	-1.3457 	 0.4141 	 -1.5271 	 
1.3	-169.7933	-158.4714	264.3878	0.5517 	 0.3053 	 0.6218 	 -0.4646 	-1.3451 	 0.4140 	 -1.5267 	 
1.31	-170.2346	-158.3742	264.4416	0.5512 	 0.3059 	 0.6195 	 -0.4678 	-1.3453 	 0.4079 	 -1.5214 	 
1.32	-170.2007	-158.4177	264.4536	0.5514 	 0.3056 	 0.6194 	 -0.4678 	-1.3454 	 0.4084 	 -1.5209 	 
1.33	-169.7388	-158.6018	264.4401	0.5525 	 0.3044 	 0.6219 	 -0.4640 	-1.3457 	 0.4166 	 -1.5257 	 
1.34	-170.2658	-158.537	264.5377	0.5525 	 0.3047 	 0.6198 	 -0.4666 	-1.3466 	 0.4121 	 -1.5205 	 
1.35	-170.3162	-158.5915	264.5511	0.5530 	 0.3041 	 0.6199 	 -0.4662 	-1.3467 	 0.4139 	 -1.5201 	 
1.36	-170.3736	-158.6442	264.5837	0.5536 	 0.3035 	 0.6200 	 -0.4658 	-1.3473 	 0.4157 	 -1.5194 	 
1.37	-170.4356	-158.7119	264.6034	0.5541 	 0.3029 	 0.6203 	 -0.4654 	-1.3473 	 0.4174 	 -1.5193 	 
1.38	-170.4998	-158.7701	264.6531	0.5546 	 0.3022 	 0.6204 	 -0.4650 	-1.3475 	 0.4193 	 -1.5188 	 
1.39	-170.5474	-158.7925	264.7026	0.5555 	 0.3014 	 0.6206 	 -0.4642 	-1.3484 	 0.4220 	 -1.5182 	 
1.4	-170.5914	-158.7872	264.7483	0.5559 	 0.3011 	 0.6207 	 -0.4637 	-1.3490 	 0.4233 	 -1.5179 	 
1.41	-170.6258	-158.8245	264.7948	0.5560 	 0.3012 	 0.6207 	 -0.4636 	-1.3493 	 0.4234 	 -1.5180 	 
1.42	-170.6005	-158.8148	264.8183	0.5558 	 0.3015 	 0.6206 	 -0.4638 	-1.3492 	 0.4226 	 -1.5182 	 
1.43	-170.5853	-158.8027	264.8344	0.5555 	 0.3018 	 0.6206 	 -0.4640 	-1.3490 	 0.4217 	 -1.5186 	 
1.44	-170.605	-158.8028	264.8478	0.5551 	 0.3021 	 0.6206 	 -0.4641 	-1.3485 	 0.4210 	 -1.5191 	 
1.45	-170.6406	-158.8121	264.8609	0.5551 	 0.3020 	 0.6208 	 -0.4640 	-1.3484 	 0.4212 	 -1.5194 	 
1.46	-170.7081	-158.8292	264.8646	0.5551 	 0.3017 	 0.6210 	 -0.4639 	-1.3480 	 0.4220 	 -1.5196 	 
1.47	-170.771	-158.8608	264.8643	0.5554 	 0.3013 	 0.6212 	 -0.4635 	-1.3480 	 0.4232 	 -1.5196 	 
1.48	-170.8604	-158.9183	264.8606	0.5555 	 0.3011 	 0.6213 	 -0.4634 	-1.3480 	 0.4238 	 -1.5195 	 
1.49	-170.914	-158.9458	264.8614	0.5558 	 0.3007 	 0.6215 	 -0.4631 	-1.3479 	 0.4249 	 -1.5195 	 
1.5	-170.9687	-159.0076	264.8722	0.5560 	 0.3004 	 0.6216 	 -0.4628 	-1.3480 	 0.4259 	 -1.5195 	 
1.51	-171.0373	-159.0446	264.854	0.5561 	 0.3000 	 0.6220 	 -0.4625 	-1.3475 	 0.4271 	 -1.5199 	 
1.52	-171.12	-159.0918	264.8389	0.5562 	 0.2993 	 0.6224 	 -0.4621 	-1.3469 	 0.4288 	 -1.5202 	 
1.53	-171.22	-159.1365	264.8215	0.5565 	 0.2985 	 0.6230 	 -0.4615 	-1.3462 	 0.4312 	 -1.5207 	 
1.54	-171.3283	-159.1911	264.805	0.5567 	 0.2980 	 0.6233 	 -0.4613 	-1.3458 	 0.4324 	 -1.5207 	 
1.55	-171.4312	-159.2421	264.8015	0.5568 	 0.2974 	 0.6236 	 -0.4611 	-1.3452 	 0.4337 	 -1.5208 	 
1.56	-171.5393	-159.2781	264.8002	0.5571 	 0.2971 	 0.6237 	 -0.4608 	-1.3453 	 0.4348 	 -1.5207 	 
1.57	-171.6504	-159.3208	264.7978	0.5574 	 0.2967 	 0.6239 	 -0.4605 	-1.3455 	 0.4359 	 -1.5206 	 
1.58	-171.7501	-159.3789	264.7988	0.5577 	 0.2963 	 0.6241 	 -0.4601 	-1.3455 	 0.4372 	 -1.5208 	 
1.59	-171.8383	-159.3913	264.8004	0.5575 	 0.2962 	 0.6244 	 -0.4600 	-1.3449 	 0.4375 	 -1.5213 	 
1.6	-171.9055	-159.4197	264.8092	0.5575 	 0.2961 	 0.6245 	 -0.4599 	-1.3448 	 0.4377 	 -1.5214 	 
1.61	-171.9558	-159.4309	264.7986	0.5575 	 0.2959 	 0.6246 	 -0.4599 	-1.3445 	 0.4382 	 -1.5215 	 
1.62	-172.0213	-159.4665	264.8078	0.5577 	 0.2957 	 0.6247 	 -0.4596 	-1.3446 	 0.4389 	 -1.5216 	 
1.63	-172.0955	-159.4996	264.7987	0.5579 	 0.2954 	 0.6249 	 -0.4593 	-1.3445 	 0.4401 	 -1.5217 	 
1.64	-172.1795	-159.5451	264.822	0.5584 	 0.2947 	 0.6252 	 -0.4587 	-1.3446 	 0.4421 	 -1.5216 	 
1.65	-172.2695	-159.5868	264.8457	0.5589 	 0.2941 	 0.6253 	 -0.4583 	-1.3450 	 0.4439 	 -1.5211 	 
1.66	-172.3259	-159.6164	264.8705	0.5592 	 0.2937 	 0.6254 	 -0.4582 	-1.3449 	 0.4448 	 -1.5206 	 
1.67	-172.3242	-159.6461	264.8749	0.5596 	 0.2931 	 0.6254 	 -0.4580 	-1.3451 	 0.4461 	 -1.5200 	 
1.68	-172.2921	-159.661	264.8734	0.5596 	 0.2930 	 0.6254 	 -0.4581 	-1.3451 	 0.4461 	 -1.5197 	 
1.69	-172.2086	-159.6815	264.8961	0.5596 	 0.2932 	 0.6251 	 -0.4584 	-1.3453 	 0.4455 	 -1.5192 	 
1.7	-172.1065	-159.6722	264.9272	0.5593 	 0.2938 	 0.6248 	 -0.4588 	-1.3454 	 0.4437 	 -1.5192 	 
1.71	-171.9967	-159.6223	264.9557	0.5591 	 0.2943 	 0.6245 	 -0.4591 	-1.3459 	 0.4423 	 -1.5190 	 
1.72	-171.8882	-159.5948	264.9975	0.5588 	 0.2950 	 0.6241 	 -0.4596 	-1.3462 	 0.4405 	 -1.5190 	 
1.73	-171.7505	-159.5423	264.9954	0.5586 	 0.2955 	 0.6237 	 -0.4601 	-1.3465 	 0.4389 	 -1.5184 	 
1.74	-171.5587	-159.4816	265.0051	0.5583 	 0.2961 	 0.6232 	 -0.4606 	-1.3469 	 0.4369 	 -1.5180 	 
1.75	-171.3116	-159.4189	265.0358	0.5577 	 0.2971 	 0.6225 	 -0.4617 	-1.3471 	 0.4335 	 -1.5174 	 
1.76	-170.9893	-159.3372	265.0716	0.5567 	 0.2988 	 0.6213 	 -0.4634 	-1.3474 	 0.4277 	 -1.5166 	 
1.77	-170.5712	-159.2426	265.1057	0.5554 	 0.3007 	 0.6200 	 -0.4655 	-1.3474 	 0.4211 	 -1.5155 	 
1.78	-170.1648	-159.1541	265.1437	0.5542 	 0.3024 	 0.6187 	 -0.4675 	-1.3473 	 0.4148 	 -1.5146 	 
1.79	-169.2834	-159.2324	265.1268	0.5543 	 0.3029 	 0.6198 	 -0.4657 	-1.3478 	 0.4170 	 -1.5181 	 
1.8	-168.8819	-159.1921	265.1408	0.5537 	 0.3040 	 0.6187 	 -0.4671 	-1.3486 	 0.4127 	 -1.5166 	 
1.81	-168.4402	-159.1556	265.1509	0.5532 	 0.3048 	 0.6177 	 -0.4686 	-1.3486 	 0.4090 	 -1.5149 	 
1.82	-167.9785	-159.1375	265.1619	0.5527 	 0.3059 	 0.6163 	 -0.4702 	-1.3493 	 0.4046 	 -1.5130 	 
1.83	-167.4763	-159.1635	265.1756	0.5523 	 0.3066 	 0.6150 	 -0.4720 	-1.3498 	 0.4005 	 -1.5103 	 
1.84	-166.9924	-159.1489	265.1454	0.5523 	 0.3069 	 0.6138 	 -0.4734 	-1.3503 	 0.3978 	 -1.5075 	 
1.85	-166.4412	-159.0855	265.1052	0.5524 	 0.3073 	 0.6123 	 -0.4749 	-1.3514 	 0.3948 	 -1.5044 	 
1.86	-165.8589	-158.9915	265.0726	0.5524 	 0.3079 	 0.6108 	 -0.4764 	-1.3525 	 0.3914 	 -1.5013 	 
1.87	-165.2378	-158.8817	265.0348	0.5526 	 0.3082 	 0.6094 	 -0.4778 	-1.3537 	 0.3886 	 -1.4980 	 
1.88	-164.5957	-158.7831	264.9842	0.5530 	 0.3080 	 0.6080 	 -0.4793 	-1.3545 	 0.3867 	 -1.4942 	 
1.89	-164.0286	-158.7396	264.9437	0.5535 	 0.3076 	 0.6070 	 -0.4802 	-1.3554 	 0.3859 	 -1.4909 	 
1.9	-163.3961	-158.7849	264.9473	0.5545 	 0.3071 	 0.6058 	 -0.4809 	-1.3570 	 0.3860 	 -1.4872 	 
1.91	-162.8041	-158.8029	264.9777	0.5551 	 0.3068 	 0.6048 	 -0.4816 	-1.3583 	 0.3855 	 -1.4842 	 
1.92	-162.2782	-158.7235	264.999	0.5556 	 0.3072 	 0.6036 	 -0.4823 	-1.3602 	 0.3837 	 -1.4815 	 
1.93	-161.8308	-158.6325	264.9914	0.5560 	 0.3076 	 0.6024 	 -0.4831 	-1.3618 	 0.3818 	 -1.4790 	 
1.94	-161.8604	-158.4349	265.0469	0.5557 	 0.3083 	 0.5992 	 -0.4869 	-1.3628 	 0.3744 	 -1.4719 	 
1.95	-161.7067	-157.9768	264.6182	0.5559 	 0.3068 	 0.5976 	 -0.4897 	-1.3612 	 0.3724 	 -1.4659 	 
1.96	-161.1181	-158.1069	264.6089	0.5561 	 0.3075 	 0.5978 	 -0.4887 	-1.3628 	 0.3729 	 -1.4673 	 
1.97	-160.9031	-158.2152	264.9829	0.5565 	 0.3076 	 0.5974 	 -0.4886 	-1.3638 	 0.3730 	 -1.4665 	 
1.98	-161.1306	-157.7831	264.8991	0.5565 	 0.3085 	 0.5980 	 -0.4874 	-1.3650 	 0.3735 	 -1.4691 	 
1.99	-160.2299	-157.9502	264.8106	0.5573 	 0.3079 	 0.5992 	 -0.4854 	-1.3658 	 0.3779 	 -1.4712 	 
2	-159.7922	-158.0456	264.8383	0.5576 	 0.3076 	 0.5983 	 -0.4864 	-1.3662 	 0.3768 	 -1.4686 	 
2.01	-159.4596	-158.1244	264.8786	0.5580 	 0.3072 	 0.5977 	 -0.4869 	-1.3666 	 0.3767 	 -1.4666 	 
2.02	-159.0639	-158.2204	264.9406	0.5586 	 0.3063 	 0.5973 	 -0.4872 	-1.3668 	 0.3778 	 -1.4641 	 
2.03	-159.4178	-157.8091	265.0911	0.5596 	 0.3063 	 0.5981 	 -0.4852 	-1.3688 	 0.3813 	 -1.4661 	 
2.04	-159.2084	-157.6911	265.1065	0.5601 	 0.3058 	 0.5977 	 -0.4852 	-1.3696 	 0.3821 	 -1.4646 	 
2.05	-158.9186	-157.6234	265.1203	0.5602 	 0.3061 	 0.5968 	 -0.4861 	-1.3702 	 0.3802 	 -1.4627 	 
2.06	-158.5463	-157.5325	265.1339	0.5603 	 0.3064 	 0.5958 	 -0.4871 	-1.3710 	 0.3782 	 -1.4605 	 
2.07	-158.1165	-157.4916	265.1327	0.5604 	 0.3066 	 0.5947 	 -0.4882 	-1.3718 	 0.3760 	 -1.4579 	 
2.08	-157.687	-157.4278	265.1449	0.5608 	 0.3067 	 0.5937 	 -0.4889 	-1.3730 	 0.3747 	 -1.4556 	 
2.09	-157.294	-157.3755	265.1787	0.5612 	 0.3068 	 0.5927 	 -0.4895 	-1.3742 	 0.3734 	 -1.4533 	 
2.12	-156.3229	-157.0968	265.3613	0.5626 	 0.3062 	 0.5906 	 -0.4909 	-1.3768 	 0.3725 	 -1.4471 	 
2.15	-155.4451	-156.9251	265.5653	0.5651 	 0.3045 	 0.5885 	 -0.4916 	-1.3806 	 0.3744 	 -1.4395 	 
2.16	-155.0714	-156.8366	265.637	0.5665 	 0.3037 	 0.5876 	 -0.4916 	-1.3829 	 0.3759 	 -1.4359 	 
2.17	-154.6819	-156.6989	265.6999	0.5676 	 0.3031 	 0.5867 	 -0.4917 	-1.3850 	 0.3768 	 -1.4328 	 
2.19	-153.8639	-156.4418	265.8314	0.5689 	 0.3028 	 0.5846 	 -0.4929 	-1.3878 	 0.3754 	 -1.4271 	 
