Tracker Experiment Results 03-Nov-2014
RIGHT_FOOT
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
2.24	-186.3361	-146.8167	84.8119	0.6519 	 0.4614 	 0.4988 	 -0.3366 	-1.8684 	 0.3465 	 -1.4893 	 
2.25	-186.3192	-146.8039	84.8498	0.6522 	 0.4616 	 0.4984 	 -0.3365 	-1.8695 	 0.3463 	 -1.4888 	 
2.26	-186.3048	-146.8164	84.8838	0.6522 	 0.4616 	 0.4983 	 -0.3366 	-1.8695 	 0.3461 	 -1.4885 	 
2.28	-186.2715	-146.8004	84.8991	0.6524 	 0.4614 	 0.4981 	 -0.3365 	-1.8700 	 0.3463 	 -1.4879 	 
2.3	-186.2479	-146.8273	84.912	0.6527 	 0.4614 	 0.4978 	 -0.3367 	-1.8704 	 0.3461 	 -1.4872 	 
2.31	-186.2217	-146.8632	84.9177	0.6528 	 0.4614 	 0.4975 	 -0.3367 	-1.8709 	 0.3457 	 -1.4866 	 
2.32	-186.1936	-146.8896	84.9202	0.6529 	 0.4611 	 0.4975 	 -0.3369 	-1.8706 	 0.3459 	 -1.4860 	 
2.33	-186.1549	-146.9053	84.991	0.6531 	 0.4613 	 0.4970 	 -0.3371 	-1.8715 	 0.3450 	 -1.4852 	 
2.35	-185.987	-146.7879	85.2008	0.6538 	 0.4613 	 0.4961 	 -0.3371 	-1.8733 	 0.3445 	 -1.4834 	 
2.36	-185.9378	-146.7515	85.3195	0.6544 	 0.4614 	 0.4954 	 -0.3369 	-1.8753 	 0.3441 	 -1.4820 	 
2.37	-185.8557	-146.6826	85.4291	0.6546 	 0.4615 	 0.4949 	 -0.3371 	-1.8760 	 0.3434 	 -1.4813 	 
2.38	-185.7849	-146.6507	85.5645	0.6550 	 0.4618 	 0.4941 	 -0.3371 	-1.8777 	 0.3427 	 -1.4800 	 
2.39	-185.6717	-146.5759	85.7292	0.6560 	 0.4627 	 0.4923 	 -0.3365 	-1.8822 	 0.3411 	 -1.4783 	 
2.4	-186.4507	-147.0367	87.0652	0.6946 	 0.4674 	 0.4633 	 -0.2906 	-2.0185 	 0.3811 	 -1.4261 	 
2.42	-186.2423	-146.9013	87.4477	0.6960 	 0.4682 	 0.4606 	 -0.2903 	-2.0244 	 0.3782 	 -1.4225 	 
2.43	-186.1146	-146.8305	87.5813	0.6962 	 0.4683 	 0.4601 	 -0.2905 	-2.0249 	 0.3774 	 -1.4217 	 
2.44	-186.0313	-146.8349	87.7909	0.6965 	 0.4685 	 0.4592 	 -0.2907 	-2.0262 	 0.3761 	 -1.4206 	 
2.45	-184.9601	-146.2988	86.7937	0.6595 	 0.4643 	 0.4866 	 -0.3359 	-1.8951 	 0.3361 	 -1.4695 	 
2.46	-184.8529	-146.4006	87.0658	0.6600 	 0.4647 	 0.4847 	 -0.3370 	-1.8972 	 0.3326 	 -1.4666 	 
2.47	-184.6412	-146.4666	87.3717	0.6604 	 0.4644 	 0.4840 	 -0.3376 	-1.8976 	 0.3316 	 -1.4647 	 
2.48	-184.3562	-146.5415	87.793	0.6608 	 0.4640 	 0.4832 	 -0.3385 	-1.8978 	 0.3303 	 -1.4623 	 
2.49	-184.9519	-147.1334	89.5388	0.6977 	 0.4668 	 0.4550 	 -0.2969 	-2.0248 	 0.3659 	 -1.4095 	 
2.5	-183.4429	-146.7018	89.5577	0.6909 	 0.4594 	 0.4679 	 -0.3044 	-1.9877 	 0.3756 	 -1.4198 	 
2.51	-184.2633	-147.183	90.5374	0.6989 	 0.4653 	 0.4537 	 -0.2985 	-2.0252 	 0.3645 	 -1.4039 	 
2.52	-181.2224	-144.7114	89.7929	0.6681 	 0.4419 	 0.4984 	 -0.3316 	-1.8810 	 0.3822 	 -1.4491 	 
